Value,Weight
Devon,31
Devora,5
Devorah,7
Dexie,3
Deya,6
Deyana,3
Dhalia,4
Dhanika,3
Dhanvi,7
Dhanvika,5
Dhiya,10
Dhriti,9
Dhriya,4
Dhruvi,4
Dhvani,5
Dhwani,3
Dhyana,7
Dhyani,4
Dia,10
Diamond,12
Diana,179
Diane,10
Dianne,3
Diara,6
Diellza,5
Dila,9
Dilan,3
Dilara,23
Dillon,9
Dilnaaz,3
Dilys,3
Dima,4
Dimyana,3
Dina,38
Dinah,4
Dini,5
Dion,3
Diona,4
Dior,16
Diora,8
Disha,3
Ditya,6
Divina,3
Divine,11
Divisha,6
Divleen,3
Divyanshi,3
Dixie,34
Diya,52
Diyana,11
Doa,3
Doaa,3
Dolce,10
Dolcie,87
Dolcie-Leigh,6
Dolcie-Mae,22
Dolcie-Mai,3
Dolcie-May,7
Dolcie-Rae,7
Dolcie-Rose,4
Dollie,42
Dollie-Mae,9
Dollie-Rae,9
Dolly,148
Dolly-Ann,4
Dolly-Anna,3
Dolly-Mae,14
Dolly-May,3
Dolly-Rae,9
Dolly-Rose,17
Dolores,24
Dominika,16
Dominique,8
Donna,4
Donna-Marie,3
Donya,3
Dora,30
Dorcas,8
Dorina,3
Doris,9
Dorota,3
Dorotea,3
Doroteja,3
Dorothea,40
Dorothy,289
Dotti,3
Dottie,182
Dottie-Mae,5
Dottie-Mai,4
Dottie-Rose,7
Dotty,38
Dotty-Mae,4
Dove,3
Dovie,3
Dream,9
Drew,20
Drina,3
Du'Aa,3
Dua,225
Dua-Noor,3
Dua-Nur,3
Duaa,97
Duaa-Noor,3
Duha,10
Dulce,3
Dulcie,65
Dulcie-Mae,7
Dumitrita,3
Dunya,14
Duru,3
Dustie,4
Dusty,41
Dwynwen,3
Dylan,21
Dylann,3
Dyllis,3
Eabha,32
Eadie,90
Ebadat,3
Ebba,7
Ebonie,8
Ebony,76
Ebony-Mae,4
Ebony-Rose,7
Ebunoluwa,3
Ecaterina,14
Ece,4
Ecem,3
Echo,8
Ecrin,5
Eda,22
Edan,3
Edda,3
Edee,3
Eden,585
Eden-Grace,4
Eden-Rae,3
Eden-Rose,10
Edi,4
Edie,446
Edie-Rae,5
Edie-Rose,9
Edina,3
Edith,613
Edith-Rose,5
Edlyn,5
Edna,8
Edyth,8
Eesha,9
Eeva,4
Eevee,10
Eevie,7
Efa,43
Effi,3
Effie,254
Effie-Mae,3
Effie-Rae,3
Effie-Rose,3
Effy,44
Eflin,4
Efrata,5
Egypt,4
Eida,3
Eidee,3
Eidie,4
Eila,23
Eilah,8
Eileen,32
Eilidh,28
Eilish,7
Eiliyah,29
Eimaan,7
Eimear,11
Eira,129
Eirah,3
Eireann,7
Eiri,6
Eirini,6
Eirinn,3
Eirlys,4
Eirwen,4
Eiva,8
Eiwa,3
Ekam,14
Ekaterina,5
Eknoor,16
Ela,65
Ela'Nur,3
Elaf,8
Elaia,27
Elain,5
Elaina,34
Elaina-May,3
Elaine,21
Elaiya,8
Elaiza,3
Elan,7
Elana,21
Elanoor,6
Elanor,7
Elanur,5
Elara,75
Elaria,4
Elaura,4
Elaya,14
Elayah,4
Elayna,26
Elba,4
Elbie,3
Eldana,7
Elea,15
Eleana,3
Eleanor,915
Eleanor-Mae,3
Eleanor-Rose,5
Eleanora,22
Eleanore,6
Electra,9
Eleen,6
Eleena,6
Eleeza,3
Eleftheria,6
Elektra,10
Elen,13
Elena,343
Elena-Rose,5
Eleni,48
Elenor,3
Elenora,3
Eleonor,4
Eleonora,25
Eleonore,6
Eleri,52
Elettra,4
Eleya,5
Eleyna,8
Elfie,3
Elfrida,3
Elhaam,3
Elham,5
Eli,4
Elia,40
Eliana,270
Eliana-Grace,3
Elianah,5
Eliane,3
Elianna,17
Elicia,3
Elif,44
Elija,9
Elim,4
Elin,52
Elina,50
Eline,11
Elinor,30
Eliora,22
Eliot,3
Elira,4
Elis,10
Elisa,109
Elisabeta,12
Elisabeth,35
Elisabetta,7
Elise,157
Elisha,19
Elisheba,3
Elisheva,10
Elisia,9
Eliska,8
Elissa,47
Elissia,11
Elita,6
Elivia,3
Eliya,16
Eliyah,11
Eliyana,9
Eliyanah,12
Eliz,16
Eliza,1064
Eliza-Beth,3
Eliza-Grace,8
Eliza-Mae,9
Eliza-Mai,3
Eliza-May,4
Eliza-Noor,3
Eliza-Rae,7
Eliza-Rose,18
Elizabete,4
Elizabeth,862
Elizabeth-Rose,7
Elizah,13
Elizaveta,4
Elkie,13
Ella,1756
Ella-Grace,24
Ella-Jade,7
Ella-Jane,4
Ella-Jayne,3
Ella-Louise,23
Ella-Mae,55
Ella-Mai,11
Ella-Marie,10
Ella-May,15
Ella-Noor,3
Ella-Rae,23
Ella-Rose,156
Ellah,4
Ellamae,4
Ellana,4
Ellanor,3
Ellarose,3
Elle,88
Elleanor,5
Ellen,56
Ellena,13
Ellery,9
Elli,3
Ellia,15
Elliana,46
Ellianna,15
Elliarna,3
Ellie,638
Ellie-Grace,6
Ellie-Louise,4
Ellie-Mae,77
Ellie-Mai,14
Ellie-May,21
Ellie-Rae,7
Ellie-Rose,17
Ellieana,3
Ellina,4
Elliot,9
Elliott,10
Ellis,34
Ellise,3
Elliw,3
Elliyah,3
Elloise,7
Ellora,13
Ellouise,4
Ellowyn,3
Ellsie,7
Elly,12
Ellya,3
Ellyana,3
Ellyn,5
Ellyse,6
Elma,11
Elna,3
Elnaz,4
Eloa,3
Eloah,3
Elodi,5
Elodie,576
Elodie-Mae,4
Elodie-Rae,3
Elodie-Rose,6
Elody,5
Eloisa,11
Eloise,492
Elora,93
Elorah,3
Elouise,35
Elowen,51
Elowyn,20
Elsa,69
Elsbeth,7
Elsey,3
Elsi,27
Elsia,3
Elsie,1840
Elsie-Ann,4
Elsie-Grace,7
Elsie-Jae,3
Elsie-Jane,5
Elsie-Jayne,5
Elsie-Jean,3
Elsie-Jo,3
Elsie-Leigh,5
Elsie-Lou,6
Elsie-Louise,5
Elsie-Mae,81
Elsie-Mai,14
Elsie-Marie,4
Elsie-May,30
Elsie-Rae,19
Elsie-Rose,39
Elspeth,37
Elswyth,4
Elva,19
Elvi,4
Elvia,3
Elvie,10
Elvin,4
Elvina,5
Elvira,7
Elvy,3
Elya,3
Elyana,17
Elyanna,3
Elysa,4
Elyse,21
Elysia,41
Elyssa,14
Elyssia,7
Elyza,66
Elyza-Noor,3
Elyza-Nur,13
Elza,9
Ema,52
Emaan,74
Emaani,3
Eman,16
Emana,3
Emani,6
Emanuela,10
Emaya,3
Ember,123
Ember-Rose,7
Emberly,3
Embla,3
Emel,14
Emeli,3
Emelia,142
Emelia-Rose,6
Emelie,6
Emeline,7
Emely,4
Emer,5
Emerald,19
Emerie,3
Emerson,6
Emersyn,5
Emery,9
Emi,25
Emie,18
Emiko,4
Emila,3
Emile,4
Emilee,8
Emili,3
Emilia,1353
Emilia-Grace,3
Emilia-Mae,3
Emilia-Rose,10
Emiliana,5
Emilie,94
Emilie-Rose,6
Emilija,17
Emiliya,6
Emilly,9
Emily,1797
Emily-Ann,3
Emily-Grace,4
Emily-Jane,3
Emily-Mae,3
Emily-Maria,4
Emily-Rose,26
Emina,3
Emine,5
Emira,10
Emirah,3
Emma,860
Emma-Louise,3
Emmanuela,3
Emmanuella,20
Emmanuelle,3
Emme,20
Emmelia,4
Emmeline,148
Emmi,15
Emmi-Rose,3
Emmie,230
Emmie-Mae,4
Emmie-Rae,6
Emmie-Rose,10
Emmy,94
Emnet,3
Emy,5
Ena,17
Enas,5
Enaya,9
Enayah,6
Enfys,11
Enid,37
Eniola,8
Enlli,7
Enola,51
Enola-Rose,3
Ensley,4
Enya,60
Eos,4
Eowyn,16
Ephrata,3
Era,7
Eres,3
Erica,112
Ericka,3
Erika,69
Erin,884
Erin-Rose,3
Erina,23
Erinn,5
Erioluwa,4
Eris,13
Erisha,4
Erum,5
Erva,3
Eryn,40
Ese,3
Eseoghene,3
Eseosa,4
Esha,19
Eshaal,68
Eshal,32
Eshani,6
Esila,5
Eslem,7
Esma,22
Esmae,398
Esmae-Marie,3
Esmae-Rose,15
Esmai,26
Esmay,22
Esme,1013
Esme-Grace,6
Esme-Louise,3
Esme-Rae,5
Esme-Rose,31
Esmea,3
Esmee,82
Esmeralda,32
Esmeray,8
Esmerelda,27
Esmi,3
Esmie,3
Esosa,3
Esra,33
Esraa,11
Essie,33
Esta,4
Este,5
Estella,17
Estelle,35
Ester,22
Estera,21
Esther,311
Esti,7
Estie,3
Esty,12
Eszter,3
Etana,3
Ethel,28
Etta,263
Etti,3
Ettie,68
Etty,22
Eugenia,7
Eugenie,4
Eula,4
Eunice,7
Euphemia,4
Eva,1091
Eva-Grace,5
Eva-Leigh,3
Eva-Lily,3
Eva-Mae,12
Eva-Maria,18
Eva-Marie,5
Eva-May,5
Eva-Rose,14
Evah,10
Evaleigh,8
Evalie,3
Evalina,9
Evalyn,36
Evana,20
Evangelia,3
Evangelina,6
Evangeline,111
Evani,4
Evania,4
Evanna,17
Evaya,3
Eve,281
Evee,5
Eveleen,4
Eveleigh,4
Evelin,28
Evelina,82
Eveline,31
Evelyn,1729
Evelyn-Grace,10
Evelyn-Mae,5
Evelyn-Maria,4
Evelyn-May,4
Evelyn-Rae,4
Evelyn-Rose,16
Evelyna,5
Evelyne,20
Evelynn,27
Evelynne,9
Ever,4
Everlee,13
Everleigh,153
Everleigh-Rae,3
Everleigh-Rose,24
Everley,49
Everli,3
Everlie,7
Everly,269
Everly-May,3
Everly-Rose,7
Everlyn,42
Everlynn,4
Evette,3
Evgenia,3
Evianna,3
Evie,1670
Evie-Ann,3
Evie-Grace,16
Evie-Jayne,4
Evie-Jean,3
Evie-Lee,3
Evie-Leigh,12
Evie-Louise,4
Evie-Mae,45
Evie-Mai,11
Evie-Marie,5
Evie-May,23
Evie-Rae,4
Evie-Rose,63
Eviee,3
Evita,3
Evleen,4
Evlyn,9
Evolette,3
Evora,5
Evra,3
Ewa,10
Ewaoluwa,4
Eylul,9
Eyra,3
Eysan,3
Eyva,8
Eza,4
Ezinne,5
Ezmae,28
Ezmae-Rose,3
Ezmai,7
Ezmay,7
Ezme,19
Ezmee,4
Ezo,3
Ezra,35
Ezrae,4
Ezrah,5
Ezri,10
Ezzah,6
Faaizah,4
Faatiha,5
Faatima,7
Faatimah,11
Fabeeha,3
Fabiana,3
Fabiha,9
Fable,3
Fadak,3
Fae,10
Fahima,3
Fahma,3
Fahmida,3
Faigy,5
Faiqa,5
Faith,290
Faiza,24
Faizah,4
Fajar,11
Fajr,21
Falak,16
Falaq,8
Fallon,38
Farah,47
Fareedah,5
Fareeha,8
Farheen,3
Fariah,4
Farida,13
Fariha,11
Farisha,3
Farley,3
Farrah,24
Farren,3
Farwa,3
Farwah,4
Faryal,10
Fateha,3
Fatema,5
Fathima,10
Fatiha,14
Fatima,397
Fatima-Zahra,4
Fatimah,147
Fatimah-Zahra,3
Fatimata,3
Fatma,13
Fatme,3
Fatoumata,16
Fatoumatta,3
Fatumata,4
Fauna,3
Fausta,4
Favour,11
Fawn,6
Fay,11
Faye,164
Fayha,3
Fayth,5
Fearne,72
Febe,4
Federica,7
Feiga,3
Feigy,5
Felicia,14
Felicitas,3
Felicity,406
Felicja,3
Fenella,10
Fenne,3
Fergie,3
Fern,140
Fernanda,3
Ferne,55
Feya,3
Ffion,122
Fflur,5
Fia,34
Fiadh,131
Fifi,3
Filippa,4
Filomena,4
Filza,5
Finley,8
Finn,6
Finola,6
Fiona,17
Fiora,3
Fiorella,7
Firdaus,7
Fiyinfoluwa,5
Fiza,13
Fizza,3
Flavia,9
Fleur,108
Flo,18
Flora,227
Florence,2180
Florence-Ivy,5
Florence-Mae,3
Florence-Rose,4
Florencia,4
Florentina,9
Flori,7
Floriana,5
Florie,12
Florina,6
Florrie,46
Flossie,9
Flossy,3
Flourish,4
Folasade,4
Forest,5
Forrest,6
Fox,4
Fradel,4
Frady,3
Frances,100
Francesca,466
Franchesca,3
Francine,6
Francis,4
Francisca,13
Frankee,6
Franki,9
Frankie,460
Frankie-Lee,3
Frankie-Leigh,8
Frankie-Louise,5
Frankie-Mae,13
Frankie-May,3
Frankie-Rae,5
Frankie-Rose,7
Fraya,6
Freda,15
Freddie,4
Frederica,6
Freeda,3
Freia,4
Freida,14
Freidy,7
Freja,39
Freya,2187
Freya-Grace,6
Freya-Leigh,4
Freya-Louise,6
Freya-Mae,14
Freya-Mai,4
Freya-Marie,4
Freya-Rae,3
Freya-Rose,24
Freyah,7
Freyja,150
Freyja-Rose,3
Frida,63
Frieda,18
Frimet,5
Gabia,4
Gabija,15
Gabriel,3
Gabriela,130
Gabriele,14
Gabriella,354
Gabriella-Rose,3
Gabrielle,66
Gaia,61
Gaja,11
Gala,5
Ganeev,3
Gauri,4
Gelila,11
Gemma,14
Genesis,11
Genevieve,89
Genie,5
Georgia,501
Georgia-Grace,3
Georgia-Rose,4
Georgiana,35
Georgie,213
Georgie-Grace,3
Georgie-Mae,3
Georgie-Marie,3
Georgie-Rae,6
Georgie-Rose,6
Georgina,151
Gergana,4
Gertrude,3
Ghalia,5
Ghazal,6
Gia,62
Giada,5
Giana,10
Gianna,121
Giavanna,10
Gift,5
Gifty,3
Gigi,40
Gillian,5
Gina,5
Ginevra,13
Ginger,5
Ginny,15
Gioia,5
Giorgia,21
Giovanna,51
Gisele,6
Giselle,12
Gita,3
Gittel,8
Gitty,21
Giulia,60
Giuliana,4
Giya,3
Gladys,3
Glain,3
Gloria,70
Glory,8
Goda,10
Gokce,4
Golda,5
Goldie,41
Goldy,8
Grace,1992
Grace-Marie,3
Gracelyn,12
Gracelynn,3
Gracey,13
Gracie,632
Gracie-Ann,4
Gracie-Beau,3
Gracie-Lee,3
Gracie-Leigh,26
Gracie-Lou,6
Gracie-Louise,6
Gracie-Mae,118
Gracie-Mai,27
Gracie-May,29
Gracie-Rae,11
Gracie-Rose,14
Greta,35
Gretel,3
Griva,3
Guinevere,13
Gul,3
Guneet,4
Gunes,3
Gurasees,15
Gurbani,8
Gurkirat,9
Gurleen,12
Gurmehar,14
Gurmeher,3
Gurnaaz,13
Gurnaz,4
Gurneet,6
Gurnoor,12
Gurrehmat,5
Gursanjh,4
Gurseerat,9
Gursehaj,3
Gursifat,7
Gursirat,10
Gurveer,3
Guste,4
Gwen,51
Gwenan,3
Gwendolen,5
Gwendoline,9
Gwendolyn,19
Gweneth,3
Gweni,5
Gwenlli,3
Gwenllian,22
Gwennan,7
Gwenno,8
Gwyneth,10
Gypsy,4
Gypsy-Rose,5
Haadiya,21
Haadiyah,8
Haajar,10
Haala,3
Haalah,3
Haani,4
Haania,6
Haaniya,35
Haaniyah,9
Habiba,21
Habibah,9
Hadasa,7
Hadassa,11
Hadassah,10
Hadeel,4
Hadhirah,3
Hadia,20
Hadiya,50
Hadiyah,21
Hadleigh,5
Hadley,30
Hadlie,3
Hadya,10
Haf,4
Hafiza,5
Hafsa,205
Hafsaa,3
Hafsah,77
Haifa,4
Hailey,84
Hailie,13
Haima,3
Haiqa,3
Haisleigh,3
Haisley,15
Haiza,4
Haizel,3
Hajar,16
Hajira,3
Hajra,34
Hajrah,8
Hakima,3
Hala,22
Halah,4
Haleema,60
Haleemah,11
Hali,12
Halima,135
Halimah,34
Halime,5
Halina,8
Halle,217
Halle-Rae,4
Halle-Rose,3
Hallee,6
Halley,13
Hallie,1070
Hallie-Anne,3
Hallie-Grace,9
Hallie-Jane,4
Hallie-Jo,4
Hallie-Mae,26
Hallie-Mai,6
Hallie-May,3
Hallie-Rae,22
Hallie-Rose,23
Hally,3
Halo,10
Hamaya,3
Hamda,5
Hamidah,3
Hamna,8
Hamnah,11
Hana,231
Hanaa,10
Hanaan,6
Hanae,3
Hanah,3
Hanan,14
Hanasa,3
Haneefah,3
Haneen,16
Hani,7
Hania,86
Haniah,3
Hanifa,15
Hanifah,6
Hanika,3
Haniya,177
Haniyah,22
Hanna,231
Hannah,588
Hannah-Rose,4
Hannie,3
Hanya,3
Haram,12
Harbor,3
Harbour,4
Hareem,23
Hareer,7
Hargun,15
Harini,3
Harisa,4
Harjot,3
Harkirat,6
Harla,5
Harlee,21
Harlee-Rose,3
Harleen,44
Harleigh,32
Harleigh-Mae,5
Harleigh-Rae,5
Harlem,3
Harley,191
Harley-Grace,4
Harley-Mae,3
Harley-Rae,6
Harley-Rose,7
Harli,8
Harlie,52
Harlie-Mae,4
Harlie-Rae,4
Harlie-Rose,5
Harliv,4
Harlo,7
Harloe,6
Harlow,354
Harlow-Grace,6
Harlow-Louise,5
Harlow-Mae,3
Harlow-Rae,10
Harlow-Rose,10
Harlowe,10
Harlyn,14
Harmonie,10
Harmony,142
Harmony-Grace,5
Harmony-Rae,3
Harmony-Rose,13
Harneet,3
Harnoor,10
Harper,1480
Harper-Faith,3
Harper-Grace,13
Harper-Jayne,3
Harper-Jean,3
Harper-Jo,5
Harper-Lee,4
Harper-Leigh,34
Harper-Lilly,5
Harper-Lily,11
Harper-Louise,5
Harper-Mae,23
Harper-Mai,5
Harper-Marie,4
Harper-May,8
Harper-Rae,31
Harper-Rose,70
Harper-Willow,5
Harrie,4
Harriet,810
Harriett,45
Harriette,18
Harseerat,6
Harshi,3
Harshika,3
Harshini,3
Harsifat,3
Harsirat,4
Hartley,3
Harveen,3
Harvi,3
Hasanat,7
Haset,5
Hasna,5
Hasti,3
Hatice,8
Hattie,257
Hattie-Mae,3
Hattie-Rae,3
Havana,31
Havanna,5
Havannah,3
Haven,5
Havin,9
Havva,4
Hawa,125
Hawa-Noor,4
Hawaa,10
Hawra,3
Hawwa,56
Haya,49
Hayaa,11
Hayaat,12
Hayah,8
Hayal,6
Hayat,32
Hayden,11
Hayley,78
Haylo,3
Hayzel,4
Hazal,10
Hazel,350
Hazel-Grace,7
Hazel-May,3
Hazel-Rose,4
Haziran,3
Heather,36
Heaven,22
Heavenly,7
Heba,16
Hebe,13
Heela,5
Heer,13
Heidi,610
Heidi-Grace,4
Heidi-Rose,8
Heidie,5
Hela,5
Helaina,5
Helen,46
Helena,145
Heli,3
Helia,5
Helin,4
Helina,3
Heloise,5
Hema,3
Hemen,6
Hendrix,5
Hendy,4
Henley,4
Henna,3
Hennessy,3
Henny,5
Henrietta,94
Henza,10
Hephzibah,5
Hera,18
Heran,11
Hermela,3
Hermione,57
Hermione-Rose,3
Hero,5
Hessa,3
Hester,13
Hestia,3
Heti,3
Hettie,55
Hettie-Mae,3
Hetty,14
Hiba,99
Hiba-Noor,3
Hibah,10
Hibba,6
Hibbah,6
Hidaaya,4
Hidaayah,4
Hidaya,12
Hidayah,40
Hifza,4
Hila,5
Hilal,3
Hilda,11
Himani,3
Himaya,3
Himayah,3
Hina,3
Hinata,5
Hinda,6
Hindy,12
Hinza,12
Hira,22
Hirah,5
Hiya,4
Hiyab,8
Hoda,5
Hodan,4
Holliday,3
Hollie,225
Hollie-Mae,5
Hollie-May,3
Hollie-Rose,5
Holly,568
Holly-Mae,9
Holly-May,3
Holly-Rose,6
Honey,152
Honey-Mae,3
Honey-May,3
Honey-Rose,3
Honor,26
Honora,4
Honour,5
Hoor,4
Hoora,3
Hoorab,3
Hoorain,115
Hoorayn,4
Hooria,8
Hooriya,10
Hooriyah,5
Hope,403
Hosanna,12
Hosna,6
Houria,3
Huda,52
Hudson,3
Huma,6
Humaira,55
Humairaa,3
Humairah,11
Humayra,15
Humayraa,3
Humayrah,6
Humna,9
Hurain,24
Huriya,3
Husna,37
Husnaa,5
Hyza,4
Iana,4
Ianthe,3
Iara,4
Iasmina,9
Ibtihal,3
Ibtisam,5
Ida,185
Ida-May,3
Ida-Rae,7
Ida-Rose,9
Idalia,3
Idara,3
Idil,6
Ieva,9
Ifechukwu,3
Ifeoluwa,5
Ifeoma,6
Ifra,10
Ifrah,14
Ifunanya,6
Ifza,4
Iga,36
Igle,6
Iha,3
Ijeoma,3
Ikhlas,9
Ikra,9
Ikram,4
Ila,6
Ila-Rose,5
Ilana,15
Ilanah,3
Ilaria,34
Ilavenil,3
Ilay,5
Ilayda,9
Ileana,4
Ilerioluwa,4
Ilhaam,6
Ilham,4
Ilhan,3
Ilia,5
Iliana,24
Ilinca,32
Ilinca-Maria,5
Iliya,5
Iliyana,4
Ilona,5
Ilsa,3
Ilwaad,3
Ilwad,4
Ilyana,34
Ilyanah,4
Ima,3
Imaan,104
Imaani,6
Imade,3
Iman,48
Imani,57
Imani-Rae,3
Imara,8
Imarni,6
Imelda,14
Imisioluwa,3
Immie,5
Imogen,998
Imogen-Rae,3
Imogen-Rose,4
Imogene,3
Ina,15
Inaara,6
Inaarah,4
Inaaya,167
Inaayah,17
Inaiya,4
Inara,75
Inarah,13
Inari,6
Inaya,174
Inayah,99
Inayat,14
Inca,4
Indi,46
India,235
India-Rose,12
Indiana,77
Indiana-Rose,3
Indianna,12
Indie,450
Indie-Mae,4
Indie-Rae,13
Indie-Rose,23
Indigo,100
Indira,13
Indiya,4
Indy,40
Indy-Rose,3
Indya,4
Ines,97
Inesa,3
Inez,17
Inga,4
Ingrid,51
Inioluwa,6
Iniya,10
Inka,8
Innayah,7
Insha,18
Inshirah,5
Insiya,3
Inti,3
Intisar,4
Inza,3
Io,9
Ioana,34
Ioanna,6
Iochebed,4
Iola,8
Iona,107
Ione,7
Ionela,6
Ipek,3
Iqra,115
Ira,27
Iremide,7
Irena,6
Irene,29
Ireoluwa,9
Irha,75
Irhaa,17
Irie,5
Irina,18
Iris,746
Iris-Grace,4
Iris-Mae,3
Iris-May,3
Iris-Rose,4
Irsa,10
Irza,4
Isabeau,5
Isabel,374
Isabela,25
Isabele,3
Isabell,8
Isabella,2010
Isabella-Grace,10
Isabella-Ivy,3
Isabella-Louise,3
Isabella-Mae,5
Isabella-Rae,4
Isabella-Rose,58
Isabelle,1304
Isabelle-Rose,8
Isadora,31
Isatou,3
Isaura,3
Isaure,3
Isbah,3
Isha,37
Ishaal,5
Ishaani,5
Ishani,23
Isher,3
Ishi,3
Ishika,12
Ishrat,4
Ishwa,3
Isidora,3
Isioma,6
Isis,3
Isla,2683
Isla-Belle,3
Isla-Faith,5
Isla-Faye,3
Isla-Grace,41
Isla-Leigh,3
Isla-Louise,3
Isla-Mae,87
Isla-Mai,18
Isla-Marie,9
Isla-May,19
Isla-Rae,33
Isla-Rai,4
Isla-Rose,143
Isla-Skye,3
Isla-Willow,3
Islah,7
Islay,9
Isma,8
Ismae,3
Ismah,10
Ismahan,3
Isobel,324
Isobel-Rose,3
Isobella,28
Isobella-Rose,6
Isobelle,38
Isolde,9
Isra,115
Israa,32
Israel,4
Israh,4
Issa,3
Issabella,4
Issey,4
Ita,7
Italia,12
Iulia,9
Iustina,3
Iva,10
Ivana,20
Ivani,5
Ivanka,6
Ivanna,17
Ivannah,3
Ivarna,3
Ivayla,3
Ivey,7
Ivey-Rose,3
Ivie,41
Ivie-Grace,3
Ivie-Rose,6
Ivon,3
Ivory,10
Ivy,2245
Ivy-Ann,5
Ivy-Anne,5
Ivy-Bleu,6
Ivy-Blu,5
Ivy-Blue,3
Ivy-Grace,32
Ivy-Jane,6
Ivy-Jayne,3
Ivy-Jean,5
Ivy-Jo,5
Ivy-Lea,5
Ivy-Leigh,24
Ivy-Lily,3
Ivy-Lou,4
Ivy-Louise,6
Ivy-Mae,79
Ivy-Mai,11
Ivy-Marie,8
Ivy-May,29
Ivy-Rae,48
Ivy-Rayne,5
Ivy-Rose,200
Ivy-Violet,3
Ivy-Willow,3
Ivy-Wren,3
Iwinosa,4
Iya,6
Iyana,17
Iyanah,3
Iyanna,3
Iyanuoluwa,5
Iyla,108
Iyla-Grace,3
Iyla-Mae,7
Iyla-Mai,4
Iyla-May,4
Iyla-Rae,3
Iyla-Rose,17
Iylah,30
Iylah-Rae,3
Iylah-Rose,5
Iyra,5
Iyrah,5
Iyzah,5
Iza,9
Izabel,10
Izabela,55
Izabele,8
Izabella,83
Izabella-Rose,3
Izabelle,22
Izara,3
Izma,7
Izna,9
Izza,10
Izzah,15
Izzie,11
Izzy,30
Jaanvi,4
Jaap,4
Jacelyn,3
Jacinta,3
Jacqueline,22
Jada,13
Jade,59
Jadelyn,3
Jadesola,7
Jaeda,4
Jael,10
Jaela,3
Jagoda,22
Jahzara,4
Jaia,3
Jaicee,3
Jaida,6
Jaime,10
Jaimee,5
Jaiya,6
Jaiyana,3
Jaliyah,4
Jamaya,3
Jameela,9
Jameelah,4
Jamie,23
Jamie-Lea,3
Jamila,31
Jamiyah,4
Jana,59
Janae,7
Janai,4
Janaki,3
Janan,6
Janat,5
Janavi,3
Janaya,19
Jane,11
Janel,4
Janelle,27
Janessa,5
Janet,4
Janey,4
Janiah,4
Janice,5
Janine,6
Janiyah,5
Janki,3
Janna,9
Jannah,60
Jannat,135
Jannath,5
Jannatul,10
Janvi,8
Japjee,3
Japji,22
Japleen,4
Japneet,6
Japnoor,8
Jashvi,5
Jaskirat,7
Jasleen,20
Jasmeen,3
Jasmeet,4
Jasmin,45
Jasmina,18
Jasmine,583
Jasmine-Jade,3
Jasmine-Rose,5
Jasneet,5
Jasnoor,5
Javeria,7
Jaya,27
Jaycee,7
Jaycee-Leigh,3
Jaycie,4
Jayda,17
Jayde,6
Jayla,36
Jaylah,7
Jayleen,3
Jayme,3
Jayne,5
Jazlyn,8
Jazmin,14
Jazmine,18
Jazmyn,5
Jazz,3
Jean,11
Jeanie,11
Jeanna,4
Jeanne,5
Jeeva,3
Jeevan,4
Jeevika,3
Jeeya,6
Jemima,124
Jemimah,15
Jemma,4
Jena,7
Jenaiah,4
Jenaya,6
Jency,4
Jenelle,10
Jenevieve,3
Jenica,3
Jenifer,4
Jenika,3
Jenna,33
Jennah,11
Jennie,11
Jennifer,91
Jenny,10
Jersey,16
Jerusha,3
Jess,4
Jesse,13
Jessenia,3
Jessi,3
Jessica,997
Jessica-Louise,3
Jessie,149
Jessika,4
Jessy,7
Jesy,4
Jett,4
Jewel,11
Jhanvi,4
Jhene,11
Jia,13
Jiana,6
Jianna,15
Jihan,4
Jinan,6
Jind,9
Jindh,3
Jinora,3
Jiya,43
Jiyana,5
Joan,17
Joana,9
Joanie,31
Joanna,64
Joanne,17
Jocelyn,32
Jodie,9
Joella,11
Joelle,16
Joelyn,3
Joey,5
Jogaile,3
Johana,3
Johanna,23
Jolene,11
Jolie,24
Joni,69
Jood,6
Jordan,15
Jordyn,4
Jorgia,4
Jorgie,55
Jorgie-Leigh,3
Jorgie-Mae,5
Jorja,15
Jory,13
Josefina,3
Joselyn,6
Josephine,175
Josette,3
Josie,161
Joslyn,4
Joss,7
Joud,7
Journey,7
Jovana,6
Jovi,3
Jovie,20
Joy,82
Joyce,16
Juana,5
Jude,13
Judi,6
Judith,14
Judy,27
Jules,3
Julia,359
Juliana,14
Julianna,8
Julie,10
Juliet,60
Julieta,3
Julietta,3
Juliette,39
Julissa,3
Jumaimah,4
Jumana,6
Jumanah,3
Juna,3
Junaina,4
Junaira,3
June,34
Juneau,3
Junie,4
Juniper,83
Juno,101
Jupiter,7
Justice,3
Justine,6
Juwairiya,4
Juwairiyah,6
Juwayriya,11
Juwayriyah,5
Jwan,3
Kaashvi,4
Kaavya,3
Kacey,22
Kaci,3
Kacie,15
Kacie-Mae,3
Kadence,4
Kadie,10
Kadie-Leigh,3
Kadija,3
Kadijah,3
Kady,10
Kaelyn,5
Kahlani,3
Kai,5
Kaia,127
Kaia-Rose,3
Kaiah,4
Kaila,13
Kailani,5
Kaina,3
Kainaat,20
Kainat,7
Kaira,58
Kairah,3
Kairavi,3
Kairi,13
Kairo,3
Kaisha,3
Kaisley,5
Kaitlin,8
Kaitlyn,36
Kaitlynn,5
Kaiya,31
Kaiyah,8
Kaja,43
Kalani,17
Kalaya,3
Kalayah,3
Kalea,4
Kaleah,4
